TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux,Fire
20121202,20121208,Ha1,-3.5,7.75408,0.659602,-9999,3.578,5.271,1.96563,1
19981119,19981125,Ha1,11.38383838,7.40512,38.0387,-9999,3.428,6.644,1.9655,1
20010312,20010318,Ha1,69.75833333,11.3378,55.9964,-9999,1.447,0.002,1.96486,1
20090122,20090128,Ha1,-9999,4.7357,22.3347,-9999,-6.897,0.406,1.95781,1
20021217,20021223,Ha1,-9999,5.13642,-14.0357,-9999,-0.257,0.708,1.95732,1
20121014,20121020,WCr,32.9188436,7.03136,8.89856,1.74362,7.014,8.23,1.95313,1
20031015,20031021,WCr,39.81653125,7.16409,26.6082,0.380247,8.141,9.213,1.95012,1
20021210,20021216,Ha1,-9999,2.30147,-19.4144,-9999,-0.218,0.759,1.94847,1
20090205,20090211,Ha1,-9999,5.69587,18.16,-9999,-2.858,0.74,1.94671,1
20041223,20041231,Ha1,-9999,0.313356,-1.77244,-9999,-3.432,0.706,1.94606,1
20101112,20101118,Ha1,-9999,8.14471,5.38178,-9999,7.206,0.226,1.94314,1
20121021,20121027,WCr,28.10922527,5.1564,9.86825,0.564499,7.078,9.066,1.94232,1
20041216,20041222,Ha1,-7.50625,2.45337,8.05576,-9999,-5.72,-0.321,1.93682,1
20061001,20061007,Syv,60.92885417,26.4952,23.6886,0.0405089,10.649,10.053,1.93023,1
